,nconst,name,image,url
0,nm0000122,Charles_Chaplin,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYzk1MDkxMWUtMTFmYS00YzA0LWE1YjctZjAxNjUwZTJkNTZkXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_.jpg
1,nm0000406,John_Ford,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOTE4ODg0OTI1NF5BMl5BanBnXkFtZTcwOTE3NDkwNA@@._V1_SY1000_CR0
2,nm0000428,D.W._Griffith,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNzFlZDg4NjAtNjllMC00NDliLWJkOGMtY2ExZmJhZjk0YmFkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SY1000_CR0
3,nm0000847,Theda_Bara,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BZTAwZjRjODEtOTU3MC00MTk4LTlhZjctZmY5ZjlkNDE4OGZiXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SY1000_CR0
4,nm0000858,John_Barrymore,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYWY2N2IwOTMtNWNhOS00NzJjLTk5M2ItYzZiZjc0NGM2MDlmXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_.jpg
5,nm0000859,Lionel_Barrymore,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0ZWQyMTItNTJkOS00MTBlLWJjNWItMmJhNWQ2OTdmODJiXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SY1000_CR0
6,nm0000891,Wallace_Beery,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYjYyYjM1NTMtMWIwMi00NmMyLWI5OTAtMWNiNjQzNzdhZjljL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg
7,nm0001316,Oliver_Hardy,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNTg4NDY1YWYtOGEyMC00M2FhLTljMjUtNTBmN2YxMTJiOTFkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SY1000_CR0
8,nm0001366,Leslie_Howard,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NDQ5ODA4M15BMl5BanBnXkFtZTgwMTY1Nzk5MTE@._V1_SY1000_CR0
9,nm0002001,Maurice_Chevalier,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BY2MzYmM1ZTYtNTdmNy00ZGIzLWE3YzItNmExMDRlZDlkZWE2XkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_.jpg
10,nm0002031,Michael_Curtiz,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNWUzNWVlOWYtNWFkMS00YzNlLThkZWUtMzA3OWZkZDRjNmYxXkEyXkFqcGdeQXVyNTk5NzQ5Ng@@._V1_.jpg
11,nm0002034,Jane_Darwell,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BY2Y1ZjA5NTYtYzQ5ZS00ZmE0LTg1ZDQtODZkYzkwMmQ1MWRhXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX1347_CR0
12,nm0002118,Alan_Hale,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM5MzM4MjA3Nl5BMl5BanBnXkFtZTgwOTA2NTQzMjE@._V1_.jpg
13,nm0002154,Alfred_Abel,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5NDY3OTYxMF5BMl5BanBnXkFtZTgwNDU1MTEwMzE@._V1_.jpg
14,nm0002161,Hans_Albers,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BY2U4Yjk5ZTYtYjBmNC00Y2YwLThjYTktOTExYTI0YTcxYjMzXkEyXkFqcGdeQXVyNTk5NzQ5Ng@@._V1_SY1000_CR0
15,nm0002233,Erich_von_Stroheim,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5NzYzNTMzN15BMl5BanBnXkFtZTgwNDM1NDU5MTE@._V1_SY1000_CR0
16,nm0002311,Montagu_Love,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNjhmMTEyMjAtZDM1MS00Y2Y1LWExNGMtYTMyZWQ5YWY0Y2NmXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_.jpg
17,nm0002935,Moe_Howard,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNzEzNjhjYzMtNDI5NC00ODVkLWFhYjQtMWUzYjcwNmNmZDI0XkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SY1000_CR0
18,nm0003124,Pedro_de_Cordoba,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BZGUzZWFhZDEtYmMzOC00ZjlhLWI3YzEtODFlYWNiNTRlZDAyXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_.jpg
19,nm0003425,Asta_Nielsen,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOTQzNmMzMjItMjhjMy00ZDJlLWE0ZTktYjhiZjc0ZTJmMWI0L2ltYWdlXkEyXkFqcGdeQXVyMjU4NzU2OTA@._V1_.jpg
20,nm0045800,Lloyd_Bacon,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMzU1NzMwMmEtNWE5ZC00Yzg5LWJiOTgtYzNmYzQ2NTgzMDY4XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg
21,nm0054036,Don_Barclay,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BZmY1NDRkYmUtMmJhOS00MzUzLWFjZmUtMzk2YjA1OWNhMDg1XkEyXkFqcGdeQXVyMTE2NzA0Ng@@._V1_.jpg
22,nm0069373,Lionel_Belmore,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYTIyODY3M2ItZGRmNS00MjdkLWEwMmQtNTRkNzc4ZDllNDhmXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SY1000_CR0
23,nm0071992,Richard_Bennett,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMzEyODJkZDctOGMxZi00NjVkLWEzYzAtZDhiNzYwN2JiNWRhXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_.jpg
24,nm0076800,Sarah_Bernhardt,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BZjUxYmM3MzYtNmRkMi00NzIxLTgxMzAtMzQ4NDI0ODZlYTI4XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_.jpg
25,nm0078116,Francesca_Bertini,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNGMzMDk2MzgtZWMwZC00MTMxLWI4ZjYtMjZkM2E0MzdkNmVlL2ltYWdlXkEyXkFqcGdeQXVyNTUyMTMyMDg@._V1_.jpg
26,nm0087404,Clara_Blandick,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNTExMDY4MTA4NF5BMl5BanBnXkFtZTcwNDI5NTkxNA@@._V1_SY1000_CR0
27,nm0092290,Curt_Bois,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNDg5MGEyZTgtZmIyMi00NzgwLTg5YjAtNjM3MjVjMzYxMjg2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SY1000_CR0
28,nm0097648,Frank_Borzage,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNDY1MjNiOTktYWYyYS00ZjE1LWE4MjAtY2U4Njc0N2ViYmY4XkEyXkFqcGdeQXVyNTUyMTMyMDg@._V1_.jpg
29,nm0098376,Hobart_Bosworth,1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMGFjZWFhMDYtOTI4My00YmNmLWE3OGYtYTNkMDM0MzQzOGIwXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg
